Age2,Age,Workclass,fnlwgt,Education,Education-num,Marrital-Status,Occupation,Relationship,Race,Sex,Capital-Gain,Capital-Loss,Hours-Per-Week,Native-Country,Income
1,39, State-gov,77516,1,13, Never-married, Adm-clerical, Not-in-family, White,0,2174,0,40, United-States,0
0,50, Self-emp-not-inc,83311,1,13, Married-civ-spouse, Exec-managerial, Husband, White,0,0,0,13, United-States,0
1,38, Private,215646,0,9, Divorced, Handlers-cleaners, Not-in-family, White,0,0,0,40, United-States,0
0,53, Private,234721,0,7, Married-civ-spouse, Handlers-cleaners, Husband, Black,0,0,0,40, United-States,0
1,28, Private,338409,1,13, Married-civ-spouse, Prof-specialty, Wife, Black,1,0,0,40, Cuba,0
1,37, Private,284582,1,14, Married-civ-spouse, Exec-managerial, Wife, White,1,0,0,40, United-States,0
0,49, Private,160187,0,5, Married-spouse-absent, Other-service, Not-in-family, Black,1,0,0,16, Jamaica,0
0,52, Self-emp-not-inc,209642,0,9, Married-civ-spouse, Exec-managerial, Husband, White,0,0,0,45, United-States,1
1,31, Private,45781,1,14, Never-married, Prof-specialty, Not-in-family, White,1,14084,0,50, United-States,1
0,42, Private,159449,1,13, Married-civ-spouse, Exec-managerial, Husband, White,0,5178,0,40, United-States,1
1,37, Private,280464,0,10, Married-civ-spouse, Exec-managerial, Husband, Black,0,0,0,80, United-States,1
1,30, State-gov,141297,1,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander,0,0,0,40, India,1
1,23, Private,122272,1,13, Never-married, Adm-clerical, Own-child, White,1,0,0,30, United-States,0
1,32, Private,205019,1,12, Never-married, Sales, Not-in-family, Black,0,0,0,50, United-States,0
0,40, Private,121772,1,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander,0,0,0,40, ?,1
1,34, Private,245487,0,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo,0,0,0,45, Mexico,0
1,25, Self-emp-not-inc,176756,0,9, Never-married, Farming-fishing, Own-child, White,0,0,0,35, United-States,0
1,32, Private,186824,0,9, Never-married, Machine-op-inspct, Unmarried, White,0,0,0,40, United-States,0
1,38, Private,28887,0,7, Married-civ-spouse, Sales, Husband, White,0,0,0,50, United-States,0
0,43, Self-emp-not-inc,292175,1,14, Divorced, Exec-managerial, Unmarried, White,1,0,0,45, United-States,1
0,40, Private,193524,1,16, Married-civ-spouse, Prof-specialty, Husband, White,0,0,0,60, United-States,1
0,54, Private,302146,0,9, Separated, Other-service, Unmarried, Black,1,0,0,20, United-States,0
1,35, Federal-gov,76845,0,5, Married-civ-spouse, Farming-fishing, Husband, Black,0,0,0,40, United-States,0
0,43, Private,117037,0,7, Married-civ-spouse, Transport-moving, Husband, White,0,0,2042,40, United-States,0
